Species,Phonotypes,RMSE.A,Res.B
1,1,0,0
2,1,0.498366539,0.601566234
3,1,0.996739099,0.804243727
4,1,1.537637574,0.887176577
5,1,2.0937865,0.928522558
6,1,2.657169511,0.952181047
7,1,3.223998795,0.965949469
8,1,3.79428308,0.975182989
9,1,4.365125681,0.982083269
10,1,4.936874233,0.986483716
11,1,5.514702905,0.989138441
12,1,6.081608014,0.993781819
13,1,6.655877024,0.995933901
14,1,7.230688172,0.997239957
15,1,7.807016249,0.99936276
16,1,8.38633198,0.998687688
17,1,8.962709934,0.999536744
18,1,9.529598092,1.001668104
19,1,10.11061369,1.000758244
20,1,10.68566023,1.00200271
21,1,11.25933718,1.0029174
22,1,11.84528704,1.001512051
23,1,12.41039686,1.004038208
24,1,12.98868976,1.003234737
25,1,13.57076935,1.002862997
26,1,14.14846506,1.002995611
27,1,14.72331806,1.00319964
28,1,15.2871597,1.006138191
29,1,15.87260167,1.003626628
30,1,16.43808653,1.006327426
31,1,17.04074087,1.001955173
32,1,17.59202847,1.006248236
33,1,18.18424966,1.004381752
34,1,18.75901079,1.00447338
35,1,19.3423065,1.003508722
36,1,19.90121885,1.006021495
37,1,20.49524394,1.004538271
38,1,21.05426254,1.006068597
39,1,21.64073607,1.005168056
40,1,22.21852268,1.004717343
41,1,22.78526582,1.005826867
42,1,23.367372,1.005359472
43,1,23.93785444,1.005565479
44,1,24.55127103,1.002570655
45,1,25.08630156,1.006344993
46,1,25.67522709,1.005144129
47,1,26.25041459,1.005921509
48,1,26.81775109,1.006473272
49,1,27.42229698,1.003924737
50,1,27.98525189,1.005875998
2,2,0,0
3,2,0.525169816,0.361965732
4,2,0.988475266,0.526008342
5,2,1.495423907,0.6163431
6,2,2.023993061,0.675255039
7,2,2.565481085,0.716224191
8,2,3.113959937,0.746624537
9,2,3.666230154,0.771135214
10,2,4.231649144,0.787862341
11,2,4.791877777,0.803878243
12,2,5.358683581,0.815278942
13,2,5.923486867,0.828667271
14,2,6.485178849,0.839357675
15,2,7.06024263,0.844955029
16,2,7.626634957,0.854012484
17,2,8.190567429,0.861614142
18,2,8.761086925,0.867975745
19,2,9.33867468,0.872487175
20,2,9.909963593,0.876929236
21,2,10.49500738,0.878427173
22,2,11.05952371,0.885898069
